key,translation
Ambience_Ambience,'Placeable Ambience'
Ambience_Event_AMB_AlienForest,'Alien Forest'
Ambience_Event_AMB_BewitchedForest,'Bewitched Forest'
Ambience_Event_AMB_CanyonBattle,'Canyon Battle'
Ambience_Event_AMB_CaveDrippy,'Cave'
Ambience_Event_AMB_CaveDrippyBats,'Bat Cave'
Ambience_Event_AMB_CaveScary,'Scary Cave'
Ambience_Event_AMB_DistantDragon,'Distant Dragon'
Ambience_Event_AMB_DistantFiddle,'Distant Fiddle'
Ambience_Event_AMB_DistantHarmonica,'Distant Harmonica'
Ambience_Event_AMB_DistantSpaceBattle,'Distant Space Battle'
Ambience_Event_AMB_Dungeon,'A Night In The Dungeon'
Ambience_Event_AMB_DwarfForge,'Dwarf Forge'
Ambience_Event_AMB_HauntedCastle,'Haunted Castle On A Rainy Night'
Ambience_Event_AMB_HowlingAbyss,'Howling Abyss'
Ambience_Event_AMB_Kraken,'Kraken Pit Ambience'
Ambience_Event_AMB_LakeShore,'Lake Shore'
Ambience_Event_AMB_MagicalForestQuiet,'Magical Forest'
Ambience_Event_AMB_MedievalStreet,'Medieval Street'
Ambience_Event_AMB_PirateHarbour,'Pirate Harbour'
Ambience_Event_AMB_PirateSwordFight,'Pirate Sword Fight'
Ambience_Event_AMB_QuietRiver,'Quiet River'
Ambience_Event_AMB_RowdyPirateTavern,'Rowdy Pirate Tavern'
Ambience_Event_AMB_ScaryForest,'Scary Forest'
Ambience_Event_AMB_SeaShore,'Sea Shore'
Ambience_Event_AMB_SpaceshipBridge,'Spaceship Bridge'
Ambience_Event_AMB_SpaceStationDockingBay,'Space Station Docking Bay'
