key,translation
CameraOptionsMenu_EdgePan,'Edge Scrolling'
CameraOptionsMenu_EdgePanSpeed,'Edge Scroll Speed'
CameraOptionsMenu_EdgePan_ToolTip,'Moves the camera when the cursor is at the edge of the screen.'
CameraOptionsMenu_FreelookToggle,'Freelook'
CameraOptionsMenu_FreelookToggle_ToolTip,'Allows the camera to fly freely around your park. Useful in tight areas or for taking screenshots.<newline><newline>You can use [{#LogicalButton.GameCamera_FreelookMode#}] to toggle Freelook from within the game.<newline><newline>[{#LogicalButton.GameCamera_RotateLeft#}] and [{#LogicalButton.GameCamera_RotateRight#}] will raise and lower the camera height in Freelook.'
CameraOptionsMenu_InvertY,'Invert Y Axis'
CameraOptionsMenu_InvertY_ToolTip,'Inverts Y axis in Freelook and first person ride cameras.'
CameraOptionsMenu_MiscLabel,'Camera Behaviour'
CameraOptionsMenu_PhysicsRaycasts,'Focus On Scenery'
CameraOptionsMenu_PhysicsRaycasts_ToolTip,'Allows the camera to focus on objects like scenery and buildings in addition to terrain and paths.  Focusing on scenery affects camera speed and zoom limitations.'
CameraOptionsMenu_Presets,'Presets'
CameraOptionsMenu_Presets_Centre,'Simple'
CameraOptionsMenu_Presets_Centre_ToolTip,'This preset uses Centre Focused options and is most similar to strategy and management games. It works best in flat parks.<newline><newline>Default setting.'
CameraOptionsMenu_Presets_Cursor,'Alternate'
CameraOptionsMenu_Presets_Cursor_ToolTip,'This preset uses Mouse Focused options. It works best in parks with complex terrain.'
CameraOptionsMenu_Presets_Custom,'Custom'
CameraOptionsMenu_Presets_Hybrid,'Advanced'
CameraOptionsMenu_Presets_Hybrid_ToolTip,'This preset uses a mix of options. It offers precise control but requires careful handling.'
CameraOptionsMenu_RMBDrag,'Right Mouse Drag'
CameraOptionsMenu_RMBDrag_Grab,'Grab Drag'
CameraOptionsMenu_RMBDrag_Grab_ToolTip,'Grabs a point in the park and move around that.'
CameraOptionsMenu_RMBDrag_InvertedSimple,'Simple Drag Inverted'
CameraOptionsMenu_RMBDrag_InvertedSimple_ToolTip,'Like Simple Drag, but inverted.'
CameraOptionsMenu_RMBDrag_Simple,'Simple Drag'
CameraOptionsMenu_RMBDrag_Simple_ToolTip,'Pans the camera based only on the mouse movement.'
CameraOptionsMenu_RMBDrag_SuperGrab,'Grab and Focus'
CameraOptionsMenu_RMBDrag_SuperGrab_ToolTip,'Grabs a point in the park and moves, rotates, and zooms around the grab point.'
CameraOptionsMenu_RMBDrag_ToolTip,'Determines the behaviour of RMB-drag.'
CameraOptionsMenu_RotateFocus,'Rotation Behaviour'
CameraOptionsMenu_RotateFocus_Centre,'Centre Focused'
CameraOptionsMenu_RotateFocus_Cursor,'Mouse Focused'
CameraOptionsMenu_RotateFocus_ToolTip,'Determine what the camera rotates around.'
CameraOptionsMenu_SensitivityKey,'Key Sensitivity'
CameraOptionsMenu_SensitivityLabel,'Sensitivities'
CameraOptionsMenu_SensitivityMouse,'Mouse Sensitivity'
CameraOptionsMenu_SensitivityWheel,'Zoom Sensitivity'
CameraOptionsMenu_WindowTitle,'Camera'
CameraOptionsMenu_ZoomFocus,'Zoom Behaviour'
CameraOptionsMenu_ZoomFocus_Centre,'Centre Focused'
CameraOptionsMenu_ZoomFocus_Cursor,'Mouse Focused'
CameraOptionsMenu_ZoomFocus_Mixed,'Mouse In, Centre Out'
CameraOptionsMenu_ZoomFocus_ToolTip,'Determine where the camera moves as you zoom in and out.'
