key,translation
FrontEndMenu_All,'All'
FrontEndMenu_AllUploads,'View All Uploads'
FrontEndMenu_Alpine,'Alpine'
FrontEndMenu_AlpineDescription,'Start your park with unlimited money and build in a cold and crisp environment!'
FrontEndMenu_AlpineSimulation,'Alpine'
FrontEndMenu_AlpineSimulationDescription,'Start your park with limited money and build in a cold and crisp environment!'
FrontEndMenu_Arctic,'Arctic'
FrontEndMenu_ArcticDescription,'Start your park with unlimited money and build in a winter wonderland!'
FrontEndMenu_ArcticSimulation,'Arctic'
FrontEndMenu_ArcticSimulationDescription,'Start your park with limited money and build in a winter wonderland!'
FrontEndMenu_AutoSave,'Hide Autosaves'
FrontEndMenu_AutosaveNumber,'[Autosave] {Number:int:minDigits=1}'
FrontEndMenu_AvatarEditor_InfoLabel,'You can now be part of the Planet Coaster universe! Your avatar will be seen by Steam friends and other Planet Coaster players.

You can edit the avatar appearance later.'
FrontEndMenu_AvatarEditor_InfoTitle,'Create your Avatar!'
FrontEndMenu_AvatarGroupInvalid_Title,'Invalid Family Group'
FrontEndMenu_AvatarGroup_Reqs_Family,'A Family group must contain between one to two adults and one to four children.'
FrontEndMenu_AvatarModerationFailed,'Your {AvatarType} submission has been rejected.
Would you like to open the editor?'
FrontEndMenu_AvatarModerationFailedHeader,'Avatar Moderation Failed'
FrontEndMenu_AvatarModerationSent,'Your Avatar will be sent to our servers for moderation.
It may take some time to appear.'
FrontEndMenu_AvatarModerationSentHeader,'Avatar Creation Complete'
FrontEndMenu_AvatarNameNeeded,'Please name your avatar.'
FrontEndMenu_AvatarNameNeededGroup,'Please ensure each member of your group is named.'
FrontEndMenu_AvatarNameNeededHeader,'Avatar Name Missing'
FrontEndMenu_AvatarOkButton,'OK'
FrontEndMenu_AvatarOptions,'Avatar Options'
FrontEndMenu_AvatarType_Group,'VIP Group Ticket'
FrontEndMenu_AvatarType_Staff,'VIP Staff Pass'
FrontEndMenu_AvatarType_VIP,'VIP Single Ticket'
FrontEndMenu_Back,'Back'
FrontEndMenu_Blueprints,'Blueprints'
FrontEndMenu_Career,'Career'
FrontEndMenu_CareerCurrent,'{Value:int}'
FrontEndMenu_CareerDescription,'Embark on a career in theme park management. Complete varied and increasingly challenging scenarios and see how far you can go!'
FrontEndMenu_CareerLastPlayed,'Last Played'
FrontEndMenu_CareerPrevious,'My Parks'
FrontEndMenu_CareerPreviousTooltips,'Load previous saved parks'
FrontEndMenu_CareerResume,'Resume'
FrontEndMenu_CareerSets,'Sets'
FrontEndMenu_CareerStartNew,'Start New Scenario'
FrontEndMenu_CareerTotal,'/{Value:int}'
FrontEndMenu_Celebrity,'Featured Creator'
FrontEndMenu_ChangePicture,'Change Picture'
FrontEndMenu_Community,'Community'
FrontEndMenu_Connecting,'Connecting...'
FrontEndMenu_CreatedBy,'Created by: {Name}'
FrontEndMenu_Credits,'Credits'
FrontEndMenu_CreditsButton,'Credits'
FrontEndMenu_Deciduous,'Deciduous'
FrontEndMenu_DeciduousDescription,'Start your park with unlimited money and build that dream park in this lush environment!'
FrontEndMenu_DeciduousSimulation,'Deciduous'
FrontEndMenu_DeciduousSimulationDescription,'Start your park with limited money and build that dream park in this lush environment!'
FrontEndMenu_DefaultChallengeParkName,'Challenge Park'
FrontEndMenu_DefaultSandboxParkName,'Sandbox Park'
FrontEndMenu_DeleteButton,'Delete'
FrontEndMenu_Desert,'Desert'
FrontEndMenu_DesertDescription,'Start your park with unlimited money and build on a sandy expanse!'
FrontEndMenu_DesertSimulation,'Desert'
FrontEndMenu_DesertSimulationDescription,'Start your park with limited money and build on a sandy expanse!'
FrontEndMenu_Details,'Details'
FrontEndMenu_Difficulty,'Difficulty'
FrontEndMenu_DifficultyEasy,'Easy'
FrontEndMenu_DifficultyEasy_Description,'Starting cash: $8000

- Many items researched
- Guests Happiness drops slowly
- Breakdown rate is slow'
FrontEndMenu_DifficultyHard,'Hard'
FrontEndMenu_DifficultyHard_Description,'Starting cash: $2000

- Few items researched
