key,translation
GraphicsOptionsMenu_Adapter,'Adapter'
GraphicsOptionsMenu_AdapterOption,'{ADAPTER}'
GraphicsOptionsMenu_AO,'Ambient Occlusion'
GraphicsOptionsMenu_AO_Q1,'Off'
GraphicsOptionsMenu_AO_Q2,'Low'
GraphicsOptionsMenu_AO_Q3,'Medium'
GraphicsOptionsMenu_AO_Q4,'High'
GraphicsOptionsMenu_AO_Q5,'Ultra'
GraphicsOptionsMenu_BackgroundAtmos,'Background Atmospherics'
GraphicsOptionsMenu_BackgroundAtmos_Q1,'Off'
GraphicsOptionsMenu_BackgroundAtmos_Q2,'Low'
GraphicsOptionsMenu_BackgroundAtmos_Q3,'Medium'
GraphicsOptionsMenu_BackgroundAtmos_Q4,'High'
GraphicsOptionsMenu_BackgroundAtmos_Q5,'Ultra'
GraphicsOptionsMenu_Bloom,'Bloom'
GraphicsOptionsMenu_Bloom_Q1,'Off'
GraphicsOptionsMenu_Bloom_Q2,'On'
GraphicsOptionsMenu_Borderless,'Borderless'
GraphicsOptionsMenu_Clouds,'Clouds'
GraphicsOptionsMenu_Clouds_Q1,'Low'
GraphicsOptionsMenu_Clouds_Q2,'Medium'
GraphicsOptionsMenu_Clouds_Q3,'High'
GraphicsOptionsMenu_CustomQuality,'Custom'
GraphicsOptionsMenu_DepthOfField,'Depth of Field'
GraphicsOptionsMenu_DepthOfField_Q1,'Off'
GraphicsOptionsMenu_DepthOfField_Q2,'On'
GraphicsOptionsMenu_Display,'Display'
GraphicsOptionsMenu_DisplayOption,'{DISPLAY}'
GraphicsOptionsMenu_DisplaySettingsTitle,'Display Settings'
GraphicsOptionsMenu_Effect,'Effect Quality'
GraphicsOptionsMenu_EffectPreset,'Preset'
GraphicsOptionsMenu_Effect_Q1,'Low'
GraphicsOptionsMenu_Effect_Q2,'Medium'
GraphicsOptionsMenu_Effect_Q3,'High'
GraphicsOptionsMenu_EffectSettingsTitle,'Effect Settings'
GraphicsOptionsMenu_EnvCapture,'Dynamic Environment Map'
GraphicsOptionsMenu_EnvCapture_Q1,'Off'
GraphicsOptionsMenu_EnvCapture_Q2,'On'
GraphicsOptionsMenu_Fullscreen,'Fullscreen'
GraphicsOptionsMenu_Gamma,'Gamma'
GraphicsOptionsMenu_Geometric,'Geometric Detail'
GraphicsOptionsMenu_Geometric_Q1,'Low'
GraphicsOptionsMenu_Geometric_Q2,'Medium'
GraphicsOptionsMenu_Geometric_Q3,'High'
GraphicsOptionsMenu_Geometric_Q4,'Very High'
GraphicsOptionsMenu_HighQuality,'High'
GraphicsOptionsMenu_LensFlare,'Lens Flare'
GraphicsOptionsMenu_LensFlare_Q1,'Off'
GraphicsOptionsMenu_LensFlare_Q2,'Low'
GraphicsOptionsMenu_LensFlare_Q3,'High'
GraphicsOptionsMenu_Lighting,'Lighting Quality'
GraphicsOptionsMenu_Lighting_Q1,'Low'
GraphicsOptionsMenu_Lighting_Q2,'Medium'
GraphicsOptionsMenu_Lighting_Q3,'High'
GraphicsOptionsMenu_LowestQuality,'Lowest'
GraphicsOptionsMenu_LowQuality,'Low'
GraphicsOptionsMenu_LPV,'Global Illumination'
GraphicsOptionsMenu_LPV_Q1,'Off'
GraphicsOptionsMenu_LPV_Q2,'On'
GraphicsOptionsMenu_MediumQuality,'Medium'
GraphicsOptionsMenu_Multisample,'Multisample Quality'
GraphicsOptionsMenu_Multisample_Q1,'Off'
GraphicsOptionsMenu_Multisample_Q2,'2x'
GraphicsOptionsMenu_Multisample_Q3,'4x'
GraphicsOptionsMenu_Multisample_Q4,'4x 8q'
GraphicsOptionsMenu_Multisample_Q5,'4x 16q'
GraphicsOptionsMenu_Multisample_Q6,'8x'
GraphicsOptionsMenu_Multisample_Q7,'8x 16q'
GraphicsOptionsMenu_RefreshRate,'Refresh Rate'
GraphicsOptionsMenu_RefreshRateOption,'{RATE:float} Hz.'
GraphicsOptionsMenu_Resolution,'Resolution'
GraphicsOptionsMenu_ResolutionOption,'{WIDTH:int} x {HEIGHT:int}'
GraphicsOptionsMenu_Revert,'Reset To Defaults'
GraphicsOptionsMenu_ScreenMode,'Screen Mode'
GraphicsOptionsMenu_Shadows,'Shadows'
GraphicsOptionsMenu_Shadows_Q1,'Off'
GraphicsOptionsMenu_Shadows_Q2,'Lowest'
GraphicsOptionsMenu_Shadows_Q3,'Low'
GraphicsOptionsMenu_Shadows_Q4,'Medium'
GraphicsOptionsMenu_Shadows_Q5,'High'
GraphicsOptionsMenu_Shadows_Q6,'Very High'
GraphicsOptionsMenu_SSR,'Screen Space Reflection'
GraphicsOptionsMenu_SSR_Q1,'Off'
GraphicsOptionsMenu_SSR_Q2,'On'
GraphicsOptionsMenu_Texture,'Texture Quality'
GraphicsOptionsMenu_Texture_Q1,'Low'
GraphicsOptionsMenu_Texture_Q2,'Medium'
GraphicsOptionsMenu_Texture_Q3,'High'
GraphicsOptionsMenu_UltraQuality,'Ultra'
GraphicsOptionsMenu_VolumeAtmos,'Foreground Atmospherics'
GraphicsOptionsMenu_VolumeAtmos_Q1,'Off'
