key,translation
InfoPanel_Close,'X'
InfoPanel_Date_PrestigeStateTooltip,'Ride Reputation<newline>This reflects the age and popularity of a ride<newline>It decreases as a ride gets older and affects the Ride Prestige<newline><newline>(Ride opened on {dateOpened})'
InfoPanel_Date_PrestigeStateTooltipUnopen,'Ride Reputation<newline>This reflects the age and popularity of a ride<newline>It decreases as a ride gets older and affects the Ride Prestige<newline><newline>(Ride unopened)'
InfoPanel_Date_Workload,'Workload<newline>This indicates the amount of work a staff member has done in recent months<newline>When a staff member has a Low or High workload, it can affect their Happiness<newline>Training allows staff members to cope with more work'
InfoPanel_EditModularScenery_Font,'{FONT}'
InfoPanel_EditModularScenery_Label_FlexiColour,'Text Colour'
InfoPanel_EditModularScenery_Label_FontOnSign,'Font'
InfoPanel_EditModularScenery_Label_TextOnSign,'Custom Text'
InfoPanel_EditModularScenery_TextOnSign,'{VALUE}'
InfoPanel_EditModularScenery_TitleMulti,'Selection ({Count:separatedFloat:decimalPlaces=0})'
InfoPanel_EditModularScenery_Tooltip_AdvancedCloneSingle,'Duplicate &amp; Advanced Move [{#LogicalButton.Editors_AdvancedClone#}]'
InfoPanel_EditModularScenery_Tooltip_AdvancedMoveSingle,'Advanced Move [{#LogicalButton.Editors_AdvancedMove#}]'
InfoPanel_EditModularScenery_Tooltip_DeleteMulti,'Delete Selection [{#LogicalButton.Editors_Delete#}]'
InfoPanel_EditModularScenery_Tooltip_DeleteSingle,'Delete [{#LogicalButton.Editors_Delete#}]'
InfoPanel_EditModularScenery_Tooltip_DuplicateMulti,'Duplicate Selection [{#LogicalButton.Editors_Clone#}]'
InfoPanel_EditModularScenery_Tooltip_DuplicateSingle,'Duplicate [{#LogicalButton.Editors_Clone#}]'
InfoPanel_EditModularScenery_Tooltip_MoveMulti,'Move Selection [{#LogicalButton.Editors_Move#}]'
InfoPanel_EditModularScenery_Tooltip_MoveSingle,'Move [{#LogicalButton.Editors_Move#}]'
InfoPanel_EditModularScenery_Tooltip_SplitMulti,'Split Selection From Building'
InfoPanel_EditModularScenery_Tooltip_SplitSingle,'Split From Building'
InfoPanel_EditModularScenery_TriggerControlled,'Activate on trigger'
InfoPanel_EditModularScenery_TriggerDuration,'Trigger Duration'
InfoPanel_Facility_Finance,'Finances'
InfoPanel_Facility_Finances,'Finance Statistics'
InfoPanel_Facility_Information,'Facility Information'
InfoPanel_Facility_Menu,'Items for Sale'
InfoPanel_Facility_OpenState,'Facility status: {STATUS}'
InfoPanel_Facility_Overview,'Overview'
InfoPanel_Facility_Prices,'Prices'
InfoPanel_Facility_SelectBuilding,'Select Building'
InfoPanel_Facility_SelectVendor,'Select Vendor'
InfoPanel_Facility_Stat_Life_Profit,'Lifetime profit'
InfoPanel_Facility_Stat_Life_Sales,'Lifetime guest sales'
InfoPanel_Facility_Stat_Prev_LostSales,'Missed sales last month'
InfoPanel_Facility_Stat_Prev_Price,'Average sale price'
InfoPanel_Facility_Stat_Prev_Profit,'Last month's profit'
InfoPanel_Facility_Stat_Prev_Revenue,'Last month's income'
InfoPanel_Facility_Stat_Prev_Sales,'Customers last month'
InfoPanel_Facility_Stat_RunningCost,'Monthly running costs'
InfoPanel_Facility_Stats,'Sales Statistics'
InfoPanel_Facility_Stat_TimeOpened,'Date opened'
InfoPanel_Facility_Stat_VendorWage,'Vendor salary'
InfoPanel_Facility_Sync,'Use the same Prices for all Facilities of this type'
InfoPanel_Facility_Sync_Label,'Price Sync'
InfoPanel_Facility_Thoughts,'Guest thoughts'
InfoPanel_Facility_Type,'Facility type'
InfoPanel_FlatRide_CabinFrontLookCamera,'Cabin Front Look Camera'
InfoPanel_FlatRide_CabinLookBackCamera,'Cabin Look Back Camera'
InfoPanel_FlatRide_CinematicCamera,'Cinematic Camera'
InfoPanel_FlatRide_Entrance,'Entrance'
InfoPanel_FlatRide_Exit,'Exit'
InfoPanel_FlatRide_FlexiColour,'Ride Colour'
InfoPanel_FlatRide_GuestCamera,'Guest Camera'
InfoPanel_FlatRide_LookAtGuestCamera,'Look At Guest Camera'
InfoPanel_FlatRide_Move,'Move'
