key,translation
Input_CombineControls, + 
Input_CombineControls_Or, or 
Input_Mouse_Button_2,Middle Mouse Button
Input_Mouse_Button_4,Mouse Button 4
Input_Mouse_Button_5,Mouse Button 5
Input_Mouse_Button_Left,Left Mouse Button
Input_Mouse_Button_Right,Right Mouse Button
Input_XInput_Button_0,Xbox Pad A
Input_XInput_Button_1,Xbox Pad B
Input_XInput_Button_10,Xbox Pad Start/Menu
Input_XInput_Button_11,Xbox Pad Back/View
Input_XInput_Button_12,Xbox Pad Left Stick Press
Input_XInput_Button_13,Xbox Pad Right Stick Press
Input_XInput_Button_2,Xbox Pad X
Input_XInput_Button_3,Xbox Pad Y
Input_XInput_Button_4,Xbox Pad RB
Input_XInput_Button_5,Xbox Pad LB
Input_XInput_Button_6,Xbox D-Pad Up
Input_XInput_Button_7,Xbox D-Pad Down
Input_XInput_Button_8,Xbox D-Pad Left
Input_XInput_Button_9,Xbox D-Pad Right
