key,translation
Mascot_ChiefBeef,Chief Beef
Mascot_ChiefBeef_Desc,High quality beef!
Mascot_CosmicCow,Cosmic Cow
Mascot_CosmicCow_Desc,Best milk in the universe
Mascot_DexR,Dex-R
Mascot_DexR_Desc,Do you need assistance human?
Mascot_Dino,Gulpee Rex
Mascot_Dino_Desc,Gulpee - The taste that dinosaurs love!
Mascot_FoxyCoffee,Foxy
Mascot_FoxyCoffee_Desc,Great coffee has a great tail to talk about
Mascot_KingCoaster,King Coaster
Mascot_KingCoasterCringle,Festive King Coaster
Mascot_KingCoasterCringle_Desc,The spirit of thrillseekers, HO HO HO!
Mascot_KingCoasterDeluxe,King Coaster Deluxe
Mascot_KingCoasterDeluxe_Desc,The spirit of thrillseekers, deluxe
Mascot_KingCoaster_Desc,The spirit of thrillseekers
Mascot_MissElly,Miss Elly
Mascot_MissElly_Desc,There ain't no damsel in this dress!
Mascot_PirateKing,Captain Lockjaw
Mascot_PirateKing_Desc,Great stories need great villains
Mascot_PrincessAmelie,Princess Amelie
Mascot_PrincessAmelie_Desc,A true heroine
Mascot_TikiChicken,Tiki
Mascot_TikiChicken_Desc,The god of heat and spice!
