NewsletterCountry_at,'Austria'
NewsletterCountry_au,'Australia'
NewsletterCountry_be,'Belgium'
NewsletterCountry_bg,'Bulgaria'
NewsletterCountry_br,'Brazil'
NewsletterCountry_ca,'Canada'
NewsletterCountry_ch,'Switzerland'
NewsletterCountry_cn,'China'
NewsletterCountry_cz,'Czech Republic'
NewsletterCountry_de,'Germany'
NewsletterCountry_es,'Spain'
NewsletterCountry_fi,'Finland'
NewsletterCountry_fr,'France'
NewsletterCountry_gb,'United Kingdom'
NewsletterCountry_gr,'Greece'
NewsletterCountry_hk,'Hong Kong'
NewsletterCountry_hu,'Hungary'
NewsletterCountry_id,'Indonesia'
NewsletterCountry_ie,'Ireland'
NewsletterCountry_il,'Israel'
NewsletterCountry_in,'India'
NewsletterCountry_it,'Italy'
NewsletterCountry_jp,'Japan'
NewsletterCountry_kr,'South Korea'
NewsletterCountry_mx,'Mexico'
NewsletterCountry_my,'Malaysia'
NewsletterCountry_nl,'Netherlands'
NewsletterCountry_no,'Norway'
NewsletterCountry_nz,'New Zealand'
NewsletterCountry_other,'Other'
NewsletterCountry_ph,'Philippines'
NewsletterCountry_pl,'Poland'
NewsletterCountry_pr,'Puerto Rico'
NewsletterCountry_pt,'Portugal'
NewsletterCountry_ro,'Romania'
NewsletterCountry_ru,'Russia'
NewsletterCountry_se,'Sweden'
NewsletterCountry_th,'Thailand'
NewsletterCountry_tr,'Turkey'
NewsletterCountry_ua,'Ukraine'
NewsletterCountry_us,'United States'
