key,translation
NewsletterSignup_AgreeTheTnC,terms and conditions.
NewsletterSignup_AgreeTo,I accept the 
NewsletterSignup_Country,Country
NewsletterSignup_Email,Your email address (required)
NewsletterSignup_Failure,We can’t get connected, try again later.
NewsletterSignup_FailureBadEmail,Invalid email address given. Please try again.
NewsletterSignup_FailureTitle,Oops!
NewsletterSignup_FirstName,First name (required)
NewsletterSignup_FreeHat,Sign up for our newsletter and get a free golden mechanic hat!
NewsletterSignup_Language,Language
NewsletterSignup_LastName,Last name (required)
NewsletterSignup_Name,Your name (required)
NewsletterSignup_OK,OK
NewsletterSignup_Submit,Sign me up!
NewsletterSignup_Success,Check out the avatar creator to find your free golden mechanic hat.
NewsletterSignup_SuccessTitle,You've signed up!
NewsletterSignup_Title,Sign up for your free hat!
