key,translation
OptionsMenu_apply,Apply
OptionsMenu_Audio,Audio
OptionsMenu_Audio_Mute,Mute
OptionsMenu_Audio_MuteAllEntry,Mute All
OptionsMenu_Audio_MuteGUIEntry,Mute GUI Sounds
OptionsMenu_Audio_MuteMenuMusicEntry,Mute Menu Soundtrack
OptionsMenu_Audio_MuteRideMusicEntry,Mute Park Music
OptionsMenu_Audio_MuteSFXEntry,Mute Sound Effects
OptionsMenu_Audio_MuteShopRadioEntry,Mute Shop Radio
OptionsMenu_Audio_MuteSoundtrackEntry,Mute Game Soundtrack
OptionsMenu_Audio_ParkMusic,Park Music
OptionsMenu_Audio_SFX,Sound Effects
OptionsMenu_Audio_Soundtrack,Soundtrack
OptionsMenu_Audio_SoundtrackInPause,Play Soundtrack in Pause Mode Only
OptionsMenu_Audio_Volume,Master Volume
OptionsMenu_Audio_Volume_Entry,Adjust Volume
OptionsMenu_back,Back
OptionsMenu_Camera,Camera
OptionsMenu_Camera_FieldOfView,FoV
OptionsMenu_Camera_FixedTilt,Fixed Tilt
OptionsMenu_Camera_FocusOnCursor,Focus On Cursor
OptionsMenu_Camera_Forward,Camera forward
OptionsMenu_Camera_InvertPan,Invert pan
OptionsMenu_Camera_InvertSwivelPitch,Invert swivel pitch
OptionsMenu_Camera_KeySensitivity,Key Sensitivity
OptionsMenu_Camera_Left,Camera left
OptionsMenu_Camera_MouseSensitivity,Mouse Sensitivity
OptionsMenu_Camera_Pan,Camera pan
OptionsMenu_Camera_Right,Camera right
OptionsMenu_Camera_Speed,Camera speed
OptionsMenu_Camera_Speed_Fast,Fast
OptionsMenu_Camera_Speed_Medium,Medium
OptionsMenu_Camera_Speed_Slow,Slow
OptionsMenu_CameraType,Type
OptionsMenu_CameraType_Advanced,Advanced
OptionsMenu_CameraType_Debug,Debug
OptionsMenu_CameraType_Freelock,Freelook
OptionsMenu_CameraType_Normal,Normal
OptionsMenu_Camera_Up,Camera up
OptionsMenu_Camera_WheelSensitivity,Wheel Sensitivity
OptionsMenu_cancel,Cancel
OptionsMenu_ColorPickerPreview,Preview
OptionsMenu_ColorPickerTitle,Interface Colour
OptionsMenu_Controls,Controls
OptionsMenu_Controls_Building_Edit,Building Edit Mode
OptionsMenu_Controls_Building_Edit_Command_01,Place Piece
Select Piece
Select Another Building
OptionsMenu_Controls_Building_Edit_Command_02,Cancel Placement
Delete Piece under cursor
OptionsMenu_Controls_Building_Edit_Command_03,Select Multiple Pieces
OptionsMenu_Controls_Building_Edit_Command_04,Rotate (Attachments &amp; Decorations)
OptionsMenu_Controls_Building_Edit_Command_05,Rotate 90-degrees
OptionsMenu_Controls_Building_Edit_Command_06,Toggle Advanced Move/Rotate
(Attachments &amp; Decorations)
OptionsMenu_Controls_Building_Edit_Command_07,Adjust Vertical Height
OptionsMenu_Controls_Building_Edit_Command_08,Reset Vertical Height
OptionsMenu_Controls_Building_Edit_Command_09,Lock to Surface Axes
OptionsMenu_Controls_Building_Edit_Command_10,Snap Attachment/Decoration to Wall Piece Centre
OptionsMenu_Controls_Building_Edit_Command_11,Toggle Angle Snap On/Off
OptionsMenu_Controls_Building_Edit_Command_12,Toggle Align to Surface On/Off
OptionsMenu_Controls_Building_Edit_Command_13,Toggle Flatten Terrain On/Off
OptionsMenu_Controls_Coaster_Edit,Coaster Edit Mode
OptionsMenu_Controls_Coaster_Edit_Command_01,Use handles
OptionsMenu_Controls_Coaster_Edit_Command_02,Build Track Piece
OptionsMenu_Controls_Coaster_Edit_Command_03,Delete Track Piece
OptionsMenu_Controls_Coaster_Edit_Command_04,Select Track Piece
OptionsMenu_Controls_Coaster_Edit_Command_05,Cancel/Close
OptionsMenu_Controls_Coaster_Edit_Command_06,Toggle Angle Snap On/Off
OptionsMenu_Controls_Coaster_Edit_Command_07,Toggle Flatten Terrain On/Off
OptionsMenu_Controls_Coaster_Edit_Input_04,[MouseLeft] on Placed Piece
OptionsMenu_Controls_GameCamera_Down,Pan Camera Down (Freelook only)
OptionsMenu_Controls_GameCamera_Up,Pan Camera Up (Freelook only)
OptionsMenu_Controls_General,General Shortcuts
OptionsMenu_Controls_General_Command_01,Controls Help (Show/Hide)
OptionsMenu_Controls_General_Command_02a,Pan Camera Forwards
OptionsMenu_Controls_General_Command_02b,Pan Camera Backwards
OptionsMenu_Controls_General_Command_02c,Pan Camera Left
OptionsMenu_Controls_General_Command_02d,Pan Camera Right
OptionsMenu_Controls_General_Command_03a,Rotate Camera Left
OptionsMenu_Controls_General_Command_03b,Rotate Camera Right
OptionsMenu_Controls_General_Command_04a,Zoom Camera In
OptionsMenu_Controls_General_Command_04b,Zoom Camera Out
OptionsMenu_Controls_General_Command_05,Toggle Freelook Camera On/Off
