key,translation
PathResource_Path_01_Description,'Your standard path piece with a nice kerb'
PathResource_Path_01_Title,'A soft purple path with a repeating pattern.'
PathResource_Path_02_Description,'Your standard path piece with a nice kerb'
PathResource_Path_02_Title,'A swirly dark-red path.'
PathResource_Path_03_Description,'Your standard path piece with a nice kerb'
PathResource_Path_03_Title,'A flagstone path.'
PathResource_Path_04_Description,'Your standard path piece with a nice kerb'
PathResource_Path_04_Title,'A sandstone path with wooden trim.'
PathResource_Path_05_Description,'Your standard path piece with a nice kerb'
PathResource_Path_05_Title,'A black path marked with the Planet Coaster logo.'
PathResource_Path_06_Description,'Your standard path piece with a nice kerb'
PathResource_Path_06_Title,'A lovely blue path.'
PathResource_Path_07_Description,'Your standard path piece with a nice kerb'
PathResource_Path_07_Title,'A natural path that marks your terrain with kerb railings.'
PathResource_Path_08_Description,'Your standard path piece with a nice kerb'
PathResource_Path_08_Title,'A natural path with kerb railings.'
PathResource_Path_09_Description,'Your standard path piece with a nice kerb'
PathResource_Path_09_Title,'A natural path that marks your terrain with kerb markers.'
PathResource_Path_10_Description,'Your standard path piece with a nice kerb'
PathResource_Path_10_Title,'A natural path with kerb markers.'
PathResource_Path_11_Description,'Gravel Cement'
PathResource_Path_11_Title,'A rustic gravel path with wooden trim.'
PathResource_Path_12_Description,'Black Sci-Fi'
PathResource_Path_12_Title,'A glossy vinyl path with a metallic trim.'
PathResource_Path_13_Description,'Stone shells'
PathResource_Path_13_Title,'Shells of small square stones with a wooden trim.'
PathResource_Path_14_Description,'Purple Cobblestones'
PathResource_Path_14_Title,'Colourful cobblestones with a stone trim.'
PathResource_Path_15_Description,'Square flagstones.'
PathResource_Path_15_Title,'Heavy square flagstones with a stone trim.'
PathResource_Path_16_Description,'Brick'
PathResource_Path_16_Title,'A colourful brick path with stone trim.'
PathResource_Queue_01_Description,'A queue with a pretty rail'
PathResource_Queue_01_Title,'A blue queue path.'
PathResource_Queue_02_Description,'A queue with a pretty rail'
PathResource_Queue_02_Title,'A simple bricked queue path.'
PathResource_Queue_03_Description,'A queue with a pretty rail'
PathResource_Queue_03_Title,'A black queue path.'
PathResource_Queue_04_Description,'Concrete'
PathResource_Queue_04_Title,'A simple concrete queue path.'
PathResource_Queue_05_Description,'A queue designed to work with Priority Pass'
PathResource_Queue_05_Title,'A black path marked with arrows.'
PathResource_Queue_06_Description,'Orange vinyl.'
PathResource_Queue_06_Title,'A glossy vinyl queue with metallic trim.'
PathResource_Queue_07_Description,'Square cobbles.'
PathResource_Queue_07_Title,'Small square cobblestones with a stone trim.'
PathResource_Queue_08_Description,'Wood queue.'
PathResource_Queue_08_Title,'A hard wearing wooden queue.'
