key,translation
ShopItem_Balloon_01,'Red Balloon'
ShopItem_Balloon_02,'Orange Balloon'
ShopItem_Balloon_03,'Green Balloon'
ShopItem_Balloon_04,'Yellow Balloon'
ShopItem_Balloon_05,'Pink Balloon'
ShopItem_Drink_Coffee_01,'Americano'
ShopItem_Drink_Coffee_02,'Double Espresso'
ShopItem_Drink_Coffee_03,'Cappuccino'
ShopItem_Drink_Coffee_04,'Mocha'
ShopItem_Drink_Coffee_05,'Decaf'
ShopItem_Drink_Cola,'Strawberry Cosmic Shake'
ShopItem_Drink_Cola_02,'Vanilla Cosmic Shake'
ShopItem_Drink_Cola_03,'Chocolate Cosmic Shake'
ShopItem_Drink_Energy_01,'Gulpee Energy'
ShopItem_Drink_Energy_02,'Gulpee Energy XL'
ShopItem_Drink_Juice_01,'Blackcurrant Juice'
ShopItem_Drink_Juice_02,'Orange Juice'
ShopItem_Drink_Juice_03,'Summer Fruits Juice'
ShopItem_Drink_Slush_01,'Pink Slush'
ShopItem_Drink_Slush_02,'Blue Slush'
ShopItem_Drink_Slush_03,'Orange Slush'
ShopItem_Drink_Slush_04,'Green Slush'
ShopItem_Drink_Smoothie_01,'Tropical Smoothie'
ShopItem_Drink_Smoothie_02,'Summer Berry Smoothie'
ShopItem_Drink_Smoothie_03,'Orange Sunshine Smoothie'
ShopItem_Drink_Smoothie_04,'Green Kale Smoothie'
ShopItem_Drink_Soda_01,'Gulpee'
ShopItem_Drink_Soda_02,'Gulpee Guava'
ShopItem_Drink_Soda_03,'Gulpee 0 Cal'
ShopItem_Drink_Soda_04,'Gulpee Watermelon'
ShopItem_Drink_Water_01,'Mineral Water'
ShopItem_Drink_Water_02,'Mineral Water XL'
ShopItem_Extra_Anchovies,'Anchovies'
ShopItem_Extra_BurgerCheese,'Cheese'
ShopItem_Extra_Chilli,'Chilli Sauce'
ShopItem_Extra_ChocolateSauce,'Chocolate Sauce'
ShopItem_Extra_CoconutFlakes,'Coconut Flakes'
ShopItem_Extra_Cream,'Cream'
ShopItem_Extra_Fruit,'Fruit Pieces'
ShopItem_Extra_FudgePieces,'Fudge Pieces'
ShopItem_Extra_Gherkins,'Gherkins'
ShopItem_Extra_Guacamole,'Guacamole'
ShopItem_Extra_Ice,'Ice'
ShopItem_Extra_IceCream,'Ice Cream'
ShopItem_Extra_Jalepenos,'Jalapeños'
ShopItem_Extra_Ketchup,'Ketchup'
ShopItem_Extra_Lettuce,'Lettuce'
ShopItem_Extra_Marshmallows,'Marshmallows'
ShopItem_Extra_Mayo,'Mayonnaise'
ShopItem_Extra_Milk,'Milk'
ShopItem_Extra_Mustard,'Mustard'
ShopItem_Extra_Onions,'Onions'
ShopItem_Extra_Peppers,'Peppers'
ShopItem_Extra_PizzaCheese,'Extra Cheese'
ShopItem_ExtraQuantity1,'A little'
ShopItem_ExtraQuantity2,'Some'
ShopItem_ExtraQuantity3,'A lot'
ShopItem_Extra_Salsa,'Salsa'
ShopItem_Extra_Salt,'Salt'
ShopItem_Extra_SourCream,'Sour Cream'
