key,translation
Staff_Entertainer,'Entertainer'
Staff_Entertainer_Plural,'Entertainers'
Staff_Janitor,'Janitor'
Staff_Janitor_Desc,'Keeps your park spotless'
Staff_Janitor_Plural,'Janitors'
Staff_Mechanic,'Mechanic'
Staff_Mechanic_Desc,'Maintains and fixes rides'
Staff_Mechanic_Plural,'Mechanics'
Staff_Security,'Security'
Staff_Security_Plural,'Security Guards'
Staff_Status_Bin,'Emptying bin'
Staff_Status_Entertain_0,'Entertaining 0 guests'
Staff_Status_Entertain_1,'Entertaining 1 guest'
Staff_Status_Entertain_N,'Entertaining {count:int} guests'
Staff_Status_Idle,'Idling'
Staff_Status_Inspection,'Inspecting {station}'
Staff_Status_Litter,'Cleaning litter'
Staff_Status_Lost,'Lost'
Staff_Status_Nav_Bin,'Going to bin'
Staff_Status_Nav_Litter,'Going to clean litter'
Staff_Status_Nav_Vomit,'Going to clean vomit'
Staff_Status_Quit,'Leaving Park'
Staff_Status_Refurbishment,'Refurbishing - {station}'
Staff_Status_Repair,'Fixing Breakdown on {station}'
Staff_Status_Suspended,'Just hanging around'
Staff_Status_Vending,'Serving customers'
Staff_Status_Vomit,'Cleaning vomit'
Staff_Status_Wander,'Wandering'
Staff_Thought_Fired_Common_01,'What do you mean, 'fired'?!'
Staff_Thought_Fired_Common_02,'You can't fire me... oh, I guess you can...'
Staff_Thought_Fired_Common_03,'Fired? But I have mouths to feed!'
Staff_Thought_Fired_Common_04,'There must be some mistake, I can't be fired!'
Staff_Thought_Fired_Common_05,'I'm fired?!?'
Staff_Thought_Happiness_High_Common_01,'This job is great!'
Staff_Thought_Happiness_High_Common_02,'I am absolutely loving this job'
Staff_Thought_Happiness_High_Common_03,'It's like this job was made for me'
Staff_Thought_Happiness_High_Common_04,'I'm so happy at work'
Staff_Thought_Happiness_High_Common_05,'I'm over the moon with this job!'
Staff_Thought_Happiness_Low_Common_01,'I should really quit my job'
Staff_Thought_Happiness_Low_Common_02,'This job is beyond a joke'
Staff_Thought_Happiness_Low_Common_03,'I've almost had it with this job'
Staff_Thought_Happiness_Low_Common_04,'I should see if another park is hiring'
Staff_Thought_Happiness_Low_Common_05,'It's time for me to find a new job'
Staff_Thought_Happiness_Medium_Common_01,'I can't complain, I've got it pretty good'
Staff_Thought_Happiness_Medium_Common_02,'I guess I'm content with my job'
Staff_Thought_Happiness_Medium_Common_03,'Things are okay here'
Staff_Thought_Happiness_Medium_Common_04,'My job is pretty average'
Staff_Thought_Happiness_Medium_Common_05,'Everything is all right I suppose'
Staff_Thought_Quit_Common_01,'I hate this job, I QUIT!'
Staff_Thought_Quit_Common_02,'That's it! I am out of here!'
Staff_Thought_Quit_Common_03,'I don't need this job anyway. Goodbye!'
Staff_Thought_Quit_Common_04,'This sucks! I am so out of here!'
Staff_Thought_Quit_Common_05,'This is the worst job EVER! I'm out of here'
Staff_Thought_Salary_High_Common_01,'My pay is pretty good!'
Staff_Thought_Salary_High_Common_02,'I'm content with my paycheck'
Staff_Thought_Salary_High_Common_03,'Money isn't really an issue'
Staff_Thought_Salary_High_Common_04,'I get paid what I'm worth'
Staff_Thought_Salary_High_Common_05,'My pay is fair'
Staff_Thought_Salary_Low_Common_01,'I wish they paid me a little more'
Staff_Thought_Salary_Low_Common_02,'I think I deserve a raise'
Staff_Thought_Salary_Low_Common_03,'I'm not getting paid what I'm worth'
Staff_Thought_Salary_Low_Common_04,'I could do with more cash'
Staff_Thought_Salary_Low_Common_05,'My pay isn't great'
Staff_Thought_Salary_VeryHigh_Common_01,'My paycheck is huge!'
Staff_Thought_Salary_VeryHigh_Common_02,'I'm just rolling in cash'
Staff_Thought_Salary_VeryHigh_Common_03,'Money, money, money. I'm going to be rich!'
Staff_Thought_Salary_VeryHigh_Common_04,'I get paid so much'
Staff_Thought_Salary_VeryHigh_Common_05,'My salary is massive'
Staff_Thought_Salary_VeryLow_Common_01,'My wages suck!'
Staff_Thought_Salary_VeryLow_Common_02,'Another day on the breadline'
Staff_Thought_Salary_VeryLow_Common_03,'I don't get paid enough for this'
Staff_Thought_Salary_VeryLow_Common_04,'They pay me peanuts'
Staff_Thought_Salary_VeryLow_Common_05,'I need a better paid job'
Staff_Thought_Trained_Common_01,'This job is so much easier with training!'
Staff_Thought_Trained_Common_02,'I'm glad I've been trained for this'
Staff_Thought_Trained_Common_03,'Training has made everything better'
Staff_Thought_Trained_Common_04,'I'm so pleased with my training'
Staff_Thought_Trained_Common_05,'Training makes it all so easy'
Staff_Thought_TrappedInPark_Common_01,'I don't want to be here anymore, but I can't leave!'
Staff_Thought_TrappedInPark_Common_02,'I can't find the way out! Am I trapped!?'
Staff_Thought_TrappedInPark_Common_03,'Please just let me get out of here...'
Staff_Thought_TrappedInPark_Common_04,'There's no route that lets me leave this park!'
Staff_Thought_TrappedInPark_Common_05,'I just want to leave, but there's no way out!'
Staff_Thought_Workload_High_Common_01,'I'm really busy at the moment'
Staff_Thought_Workload_High_Common_02,'My workload is heavy today'
Staff_Thought_Workload_High_Common_03,'There sure is a lot to do right now'
Staff_Thought_Workload_High_Common_04,'I haven't had a minute to myself all day'
Staff_Thought_Workload_High_Common_05,'I need more training to do this much work!'
Staff_Thought_Workload_Low_Common_01,'Things are pretty quiet right now'
Staff_Thought_Workload_Low_Common_02,'I wish I had more work to do'
Staff_Thought_Workload_Low_Common_03,'It sure is quiet today'
Staff_Thought_Workload_Low_Common_04,'I hope things get busier soon'
Staff_Thought_Workload_Low_Common_05,'I can easily handle this workload'
Staff_Thought_Workload_VeryHigh_Common_01,'There's too much to do!'
Staff_Thought_Workload_VeryHigh_Common_02,'I'm snowed under with tasks!'
Staff_Thought_Workload_VeryHigh_Common_03,'I can't do all this work by myself!'
Staff_Thought_Workload_VeryHigh_Common_04,'I'm doing two people's work here'
Staff_Thought_Workload_VeryHigh_Common_05,'All this work is stressing me out'
Staff_Thought_Workload_VeryLow_Common_01,'This job is a snoozefest'
Staff_Thought_Workload_VeryLow_Common_02,'Bored, bored, bored!'
Staff_Thought_Workload_VeryLow_Common_03,'My work isn't pushing me enough'
Staff_Thought_Workload_VeryLow_Common_04,'I need more work to do'
Staff_Thought_Workload_VeryLow_Common_05,'I can do more work than this'
Staff_Tooltip,'{TITLE}
{DESCRIPTION}'
Staff_Vendor,'Vendor'
Staff_Vendor_Plural,'Vendors'
