key,translation
Tag_Blueprint_Blueprint,'Blueprint'
Tag_Blueprint_Building,'Building'
Tag_Blueprint_BuildingCoasterStation,'Coaster Station'
Tag_Blueprint_BuildingLarge,'Large Building'
Tag_Blueprint_BuildingOther,'Other Building'
Tag_Blueprint_BuildingSmall,'Small Building'
Tag_Blueprint_BuildingTicketBooth,'Ticket Booths'
Tag_Blueprint_Coaster,'Coaster'
Tag_Blueprint_CoasterHybrid,'Hybrid'
Tag_Blueprint_CoasterSteel4D,'X-Dimension'
Tag_Blueprint_CoasterSteelEuro,'Typhoon'
Tag_Blueprint_CoasterSteelFamily,'Family'
Tag_Blueprint_CoasterSteelGiga,'Giga'
Tag_Blueprint_CoasterSteelHyper,'Hypercoaster'
Tag_Blueprint_CoasterSteelInverted,'Inverted'
Tag_Blueprint_CoasterSteelMisc,'Other - Steel'
Tag_Blueprint_CoasterSteelPoweredLaunch,'Powered Launch'
Tag_Blueprint_CoasterSteelWing,'Wing'
Tag_Blueprint_CoasterWooden,'Wooden'
Tag_Blueprint_Park,'Park'
Tag_Blueprint_ParkEntrance,'Park Entrances'
Tag_Blueprint_PoweredRide,'Powered Ride'
Tag_Blueprint_Ride,'Ride'
Tag_Blueprint_Scenery,'Scenery'
Tag_Blueprint_SceneryNature,'Nature'
Tag_Blueprint_SceneryOther,'Other Scenery'
Tag_Blueprint_SceneryScene,'Scenes'
Tag_Blueprint_ScenerySpecialEffect,'Special Effects'
Tag_Blueprint_SceneryStatue,'Statues'
Tag_Blueprint_Shop,'Shops and Facilities'
Tag_Blueprint_ShopATM,'ATMs'
Tag_Blueprint_ShopDrink,'Drink Shops'
Tag_Blueprint_ShopFirstAid,'First Aid'
Tag_Blueprint_ShopFood,'Food Shops'
Tag_Blueprint_ShopGift,'Gift Shops'
Tag_Blueprint_ShopInfo,'Information'
Tag_Blueprint_ShopOther,'Other'
Tag_Blueprint_ShopToilet,'Toilets'
Tag_Blueprint_TrackRide,'Track Ride'
Tag_Blueprint_TransportRide,'Transport Ride'
Tag_Blueprint_WaterRide,'Water Ride'
Tag_EditableText,'Editable Text'
Tag_Triggerable,'Triggerable'
