key,translation
TrackEdit_AngleSnap,Angle Snap
TrackEdit_AttachCamera,Attach Camera
TrackEdit_AutoCompleteToolTip,Auto Complete current design
TrackEdit_AutoTunnel,Auto Tunnel
TrackEdit_Banking,Banking
TrackEdit_Banking_AngleIndicator,{Value:float:decimalPlaces=2}º
TrackEdit_Build,Build [{#LogicalButton.TrackEdit_Build#}]
TrackEdit_Delete,Delete [{#LogicalButton.TrackEdit_Delete#}]
TrackEdit_Elevation,Elevation
TrackEdit_HeightMarkers,Height Markers
TrackEdit_HeightMarkers_Off,Off
TrackEdit_HeightMarkers_SeaLevel,Sea Level
TrackEdit_HeightMarkers_TerrainRelative,Terrain Relative
TrackEdit_KeepCurve,Keep Curve
TrackEdit_Length,Length
TrackEdit_NextSelectionToolTip,Move selection to next piece
TrackEdit_PieceSelection,Piece selection
TrackEdit_PreviousSelectionToolTip,Move selection to previous piece
TrackEdit_Redo,Redo
TrackEdit_RemoveTrains,Remove Trains
TrackEdit_RollOffset,Bank Pivot Height
TrackEdit_Scale,Scale
TrackEdit_Smooth,Smooth
TrackEdit_Title,Track Options
TrackEdit_TrackRelativeHandles,Track Relative Controls
TrackEdit_Turn,Turn
TrackEdit_Undo,Undo
