key,translation
TrackEditParam_BankingRangeDegrees,Banking Range Degrees
TrackEditParam_BankPivotRange,Banking Offset
TrackEditParam_BlockBrakeMinSpeed,Brake Target Speed
TrackEditParam_BlockSectionMaxSpeed,Target Speed
TrackEditParam_BoosterAcceleration,Acceleration Rate
TrackEditParam_BoosterDirection,Booster Direction
TrackEditParam_BoosterMaxSpeed,Target Speed
TrackEditParam_BrakeDeceleration,Deceleration Rate
TrackEditParam_BrakeDirection,Brake Direction
TrackEditParam_BrakeMinSpeed,Target Speed
TrackEditParam_CabinAngle,Seat angle
TrackEditParam_CabinAngleSet,Seat rotation
TrackEditParam_ChainLiftSpeed,Chain Speed
TrackEditParam_CurveRangeDegrees,Curve Range Degrees
TrackEditParam_DropSupports,Track Supports
TrackEditParam_ForwardsLaunchAcceleration,Reverse Launch Acceleration
TrackEditParam_ForwardsLaunchSpeed,Reverse Launch Speed
TrackEditParam_FrictionWheelLiftSpeed,Wheel Lift Speed
TrackEditParam_HoldingSectionMaxTime,Maximum Hold Delay
TrackEditParam_HoldingSectionMinTime,Minimum Hold Delay
TrackEditParam_HoldingSectionReleaseAcceleration,Release Acceleration
TrackEditParam_HoldingSectionReleaseSpeed,Release Speed
TrackEditParam_HoldingSectionStopLocation,Stop Distance
TrackEditParam_HydraulicLaunchAcceleration,Acceleration
TrackEditParam_HydraulicLaunchDelay,Launch Delay
TrackEditParam_HydraulicLaunchLauchSpeed,Target Speed
TrackEditParam_HydraulicLaunchReturnSpeed,Catch Car Return Speed
TrackEditParam_LengthRangeMetres,Length Range Metres
TrackEditParam_OptionalCatwalk,Optional Catwalk
TrackEditParam_ReverseLaunchAcceleration,Forwards Boost Acceleration
TrackEditParam_ReverseLaunchSpeed,Forwards Boost Speed
TrackEditParam_ScaleRange,Scale Range
TrackEditParam_SlopeRangeDegrees,Slope Range Degrees
TrackEditParam_StationEntranceSide,Station Entrance Side
TrackEditParam_StationEntrySpeed,Entry Speed
TrackEditParam_StationExitSide,Station Exit Side
TrackEditParam_StationExitSpeed,Exit Speed
TrackEditParam_StationStopLocation,Train Stop Location
TrackEditParam_TunnelRadius,Tunnel Radius
