HUD_AdultGroupMemberCount,"Adult Group Guests"
HUD_AverageGuestHappinessTitle,"Average Guest Happiness"
HUD_AverageHappiness,"Average Guest Happiness"
HUD_AverageHappinessMultiplier,"Guest Happiness"
HUD_BalanceBonus,"Park Balance Bonus"
HUD_ConstructionCosts,"Construction Costs"
HUD_CurrentMonth,"Current Month"
HUD_FamilyGroupMemberCount,"Family Group Guests"
HUD_HelpPopup_BlueprintPlacement_Title,"Blueprint Placement Controls"
HUD_HelpPopup_CoasterEdit_Command_01,"Use Handles"
HUD_HelpPopup_CoasterEdit_Command_02,"Build Track Piece"
HUD_HelpPopup_CoasterEdit_Command_03,"Delete Track Piece"
HUD_HelpPopup_CoasterEdit_Command_04,"Select Track Piece"
HUD_HelpPopup_CoasterEdit_Command_05,"Cancel/Close"
HUD_HelpPopup_CoasterEdit_Command_06,"Angle Snap On/Off"
HUD_HelpPopup_CoasterEdit_Description,"Use the in-world buttons to manipulate the track with precision control. Left click away from the coaster to place the next track piece."
HUD_HelpPopup_CoasterEdit_Input_OnPlacedPiece,"{ControlText} on Placed Piece"
HUD_HelpPopup_CoasterEdit_Title,"Coaster Edit Controls"
HUD_HelpPopup_Control_Hold,"{ControlText} (Hold)"
HUD_HelpPopup_Controls,"{ControlText}"
HUD_HelpPopup_DontShow,"Disable All Hints"
HUD_HelpPopup_EntranceExit_Command_01,"Confirm Placement"
HUD_HelpPopup_EntranceExit_Command_02,"Cancel Placement"
HUD_HelpPopup_EntranceExit_Title,"Placement Controls"
HUD_HelpPopup_MoreControls,"Show More Controls"
HUD_HelpPopup_MouseAxisScroll,"[MouseMiddle] (Scroll)"
HUD_HelpPopup_MouseAxisX,"[MouseMoveH]"
HUD_HelpPopup_MouseAxisXY,"[MouseMove]"
HUD_HelpPopup_MouseAxisY,"[MouseMoveV]"
HUD_HelpPopup_MouseButtonLeft,"[MouseLeft]"
HUD_HelpPopup_MouseButtonMiddle,"[MouseMiddle]"
HUD_HelpPopup_MouseButtonRight,"[MouseRight]"
HUD_HelpPopup_MultiPlacement_Title,"Placement Controls"
HUD_HelpPopup_MultiSelect_Command_01,"Select"
HUD_HelpPopup_MultiSelect_Command_02,"Cancel/Close"
HUD_HelpPopup_MultiSelect_Command_03,"Add/Remove Selection"
HUD_HelpPopup_MultiSelect_Description,"Multi-Select allows you to select multiple items for editing or blueprint creation. Drag-select over the items you want, or hold Ctrl and select or de-select them individually."
HUD_HelpPopup_MultiSelect_Title,"Multi-Select Tool"
HUD_HelpPopup_Paths_Command_01,"Place Path"
HUD_HelpPopup_Paths_Command_02,"Delete Path"
HUD_HelpPopup_Paths_Command_03,"Raise/Lower Path"
HUD_HelpPopup_Paths_Command_04,"Close Path Tool"
HUD_HelpPopup_Paths_Command_05,"Raise Path (preview)"
HUD_HelpPopup_Paths_Command_06,"Lower Path (preview)"
HUD_HelpPopup_Paths_Command_07,"Rotate Junctions, Straighten Joins"
HUD_HelpPopup_Paths_Command_08,"Adjust Height"
HUD_HelpPopup_Paths_Command_09,"Reset Height"
HUD_HelpPopup_Paths_Command_10,"Disable Path Joins"
HUD_HelpPopup_Paths_Command_11,"Angle Snap On/Off"
HUD_HelpPopup_Paths_Command_12,"Decrease Length"
HUD_HelpPopup_Paths_Command_13,"Increase Length"
HUD_HelpPopup_Paths_Command_14,"Decrease Width"
HUD_HelpPopup_Paths_Command_15,"Increase Width"
HUD_HelpPopup_Paths_Command_16,"Toggle Flatten Terrain"
HUD_HelpPopup_Paths_Command_17,"Delete Path On/Off"
HUD_HelpPopup_Paths_Description,"Place paths for your guests to walk on. Paths connect the park entrance to rides and shops around the park."
HUD_HelpPopup_Paths_Title,"Path Controls"
HUD_HelpPopup_Ping,"Click here for control help"
HUD_HelpPopup_QuickStart,"Key Controls"
HUD_HelpPopup_RidePlacement_Command_01,"Confirm Placement"
HUD_HelpPopup_RidePlacement_Command_02,"Cancel Placement"
HUD_HelpPopup_RidePlacement_Command_03,"Rotate"
HUD_HelpPopup_RidePlacement_Command_04,"Rotate 90-degrees"
HUD_HelpPopup_RidePlacement_Command_05,"Raise/Lower"
HUD_HelpPopup_RidePlacement_Command_06,"Toggle Advanced Move/Rotate"
HUD_HelpPopup_RidePlacement_Command_07,"Rotation Snap On/Off"
HUD_HelpPopup_RidePlacement_Command_08,"Reset Height"
HUD_HelpPopup_RidePlacement_Command_09,"Lock to Surface Axes"
HUD_HelpPopup_RidePlacement_Description,"Position objects with your cursor before placing them in the park. Use the keyboard to activate rotation and height controls."
HUD_HelpPopup_RidePlacement_Title,"Ride Placement Controls"
HUD_HelpPopup_SceneryPlacement_AdvancedMove_Command_01,"Confirm Placement"
HUD_HelpPopup_SceneryPlacement_AdvancedMove_Command_02,"Cancel Placement"
HUD_HelpPopup_SceneryPlacement_AdvancedMove_Command_03,"Toggle Advanced Move/Rotate"
HUD_HelpPopup_SceneryPlacement_AdvancedMove_Command_04,"Switch to Standard Move"
HUD_HelpPopup_SceneryPlacement_AdvancedMove_Description,"Use the in-world buttons to move the object with precision control or select different movement options."
HUD_HelpPopup_SceneryPlacement_AdvancedMove_Title,"Advanced Move"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_01,"Confirm Placement"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_02,"Cancel Placement"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_03,"Rotate"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_04,"Rotate 90-degrees"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_05,"Raise/Lower"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_06,"Toggle Advanced Move/Rotate"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_07,"Rotation Snap On/Off"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_08,"Reset Height"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Command_09,"Lock To Surface Axes"
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Description,"Position objects with your cursor before placing them in the park. Use the keyboard to activate rotation and height controls."
HUD_HelpPopup_SceneryPlacement_GridObjectOffGrid_Title,"Placement Controls"
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Command_01,"Confirm Placement"
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Command_02,"Cancel Placement"
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Command_03,"Rotate 90-degrees"
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Command_04,"Raise/Lower"
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Command_05,"Lock To Surface Axes"
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Description,"Use the grid to create building structures, then decorate them with scenery items. Use the keyboard to activate rotation and height controls."
HUD_HelpPopup_SceneryPlacement_GridObjectOnGrid_Title,"Grid Placement Controls"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_01,"Confirm Placement"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_02,"Cancel Placement"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_03,"Rotate"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_04,"Rotate 90-degrees"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_05,"Raise/Lower"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_06,"Toggle Advanced Move/Rotate"
HUD_HelpPopup_SceneryPlacement_NonGridObject_Command_07,"Rotation Snap On/Off"
