Notification_ChallengeAvailable,"Challenge available"
Notification_ChallengeAvailableStacked,"Multiple Challenges available"
Notification_ChallengeButton,"View Challenges"
Notification_ChallengeCompleted,"Challenge complete"
Notification_ChallengeCompletedStacked,"Multiple Challenges complete"
Notification_EntrancesNotConnectedToSpawn,"The Park Entrance is not accessible from the outside world"
Notification_GuestsHappiness,"Many guests are very unhappy"
Notification_GuestsHappinessDropping,"Average Guest Happiness is declining"
Notification_GuestsHungry,"Many guests are hungry"
Notification_GuestsThirsty,"Many guests are thirsty"
Notification_GuestsTired,"Many guests are tired<newline>Make sure there are enough benches"
Notification_GuestsToiletNeed,"Many guests need the toilet"
Notification_MarketingButton,"View Marketing"
Notification_MarketingCampaignCompleted,"Marketing campaign has ended<newline>'{Name}'"
Notification_MarketingCampaignCompletedCantRenew,"Marketing campaign cancelled due to lack of funds<newline>'{Name}'"
Notification_MarketingCampaignCompletedCantRenewStacked,"Multiple marketing campaigns cancelled due to lack of funds"
Notification_MarketingCampaignCompletedStacked,"Multiple marketing campaigns have ended"
Notification_ObjectiveButton,"View Objectives"
Notification_ObjectiveCompleted,"{ObjectiveTier} objective complete:<newline>'{Name}'<newline>Well done!"
Notification_ObjectiveCompletedStacked,"Multiple Objectives have been completed"
Notification_OpenNotificationsButton,"Open Notifications"
Notification_ParkBins,"There are a lot of overflowing bins in the park<newline>Make sure janitors empty them regularly"
Notification_ParkBreakdowns,"Your park's Breakdown rate is high<newline>Make sure mechanics inspect your rides regularly"
Notification_ParkLitter,"There is a lot of litter in the park<newline>Make sure there are enough bins"
Notification_ParkMonthlySummary,"End of month summary:<newline>   Monthly Profit: {ProfitChange}<newline>   Park Rating Change: {RatingChange}"
Notification_ParkMonthlySummaryStacked,"Multiple monthly summaries available to view"
Notification_ParkSummaryButton,"View Park Summary"
Notification_ParkVomit,"There is a lot of vomit in the park<newline>Consider making first aid available"
Notification_ResearchAvailable,"New research project available"
Notification_ResearchAvailableStacked,"Multiple new research projects available"
Notification_ResearchButton,"View Research"
Notification_ResearchCompleted,"Research project ready to be revealed"
Notification_ResearchCompletedStacked,"Multiple research projects ready to be revealed"
Notification_RideBroken,"{Name} has broken down"
Notification_RideBrokenStacked,"Multiple rides are broken down<newline>Make sure mechanics inspect your rides often"
Notification_RideButton,"View Ride"
Notification_RideCrashed,"{Name} has crashed!"
Notification_RideCrashedStacked,"Multiple rides have crashed!"
Notification_RideFixed,"{Name} has been fixed"
Notification_RideFixedStacked,"Multiple rides have been fixed"
Notification_RideIncomplete,"{Name} is incomplete"
Notification_RideIncompleteStacked,"Multiple rides are still incomplete"
Notification_RideLongQueueTime,"Guests think {Name} has a long queue time"
Notification_RideLongQueueTimeStacked,"Guests think multiple rides have long queue times"
