PopUp_AddObjectToTrigger,"Add Object to Trigger"
PopUp_AddTrigger,"Add Trigger"
PopUp_AddTriggerHide,"Hide attached objects"
PopUp_AddTriggerHideOption,"Hide options"
PopUp_AddTriggerHint,"Add a point to the track which will activate when the train passes."
PopUp_AddTriggerPlay,"Test activation on attached objects"
PopUp_AddTriggerShow,"Show attached objects"
PopUp_AddTriggerShowOption,"Show options"
PopUp_CannotOpen,"Cannot open as the ride is untested and the checklist is incomplete"
PopUp_CannotOpen_Basic,"Cannot open"
PopUp_CannotOpen_Incomplete,"Cannot open as the checklist is incomplete"
PopUp_CannotOpen_NoStations,"Cannot open as there are no complete stations"
PopUp_CannotOpen_Station,"Cannot open as the station is untested"
PopUp_CannotOpen_Untested,"Cannot open as the ride is untested"
PopUp_CannotTest_NoStations,"Cannot test as there are no stations built"
PopUp_Checklist,"Checklist"
PopUp_Closed,"Close"
PopUp_CoasterStats,"Coaster Statistics"
PopUp_CoasterTriggerDescription,"Place triggers along the track and attach them to animated scenery"
PopUp_CoasterTriggerId,"{VALUE:int}"
PopUp_CoasterTriggerNameDefault,"Coaster Trigger"
PopUp_CoasterTriggerTitle,"Coaster Triggers"
PopUp_Customise,"Customise"
PopUp_DropItem,"Drop Item"
PopUp_FastPass_MergeName,"Priority Pass Merge"
PopUp_FastPass_SplitName,"Priority Pass Split"
PopUp_Finances,"Finances"
PopUp_FocusCam,"Centre Camera"
PopUp_Guests,"Guests"
PopUp_Maintenance,"Maintenance"
PopUp_MultiSelect_BlueprintTooManyFlatRides,"Blueprints cannot contain amusement rides."
PopUp_MultiSelect_BlueprintTooManyProps,"Blueprints cannot contain more than 2000 scenery/building pieces."
PopUp_MultiSelect_BlueprintTooManyTrackedRides,"Blueprints cannot contain more than one coaster."
PopUp_MultiSelect_BuildingMerge,"Add standalone scenery to selected building."
PopUp_MultiSelect_BuildingMerge_TooBig,"Cannot Add scenery to create a building with more than 5000 scenery/building pieces."
PopUp_MultiSelect_CountValue,"{COUNT:separatedFloat:decimalPlaces=0}"
PopUp_MultiSelect_EditTooManyFlatRides,"Cannot move/delete an amusement ride using multi-select."
PopUp_MultiSelect_EditTooManyProps,"Cannot move/delete more than 5000 scenery/building pieces at a time."
PopUp_MultiSelect_EditTooManyTrackedRides,"Cannot move/delete more than 1 coaster at a time."
PopUp_MultiSelect_LabelCountBuilding,"Buildings"
PopUp_MultiSelect_LabelCountFlatRides,"Amusement Rides"
PopUp_MultiSelect_LabelCountSceneryParts,"Scenery &amp; Building Pieces"
PopUp_MultiSelect_LabelCountTrackedRides,"Tracked Rides"
PopUp_MultiSelect_LabelSelectionStatistics,"Selection Information"
PopUp_MultiSelect_PatrolZones_Commit,"Save work roster"
PopUp_MultiSelect_PatrolZones_DefaultName,"My new roster!"
PopUp_MultiSelect_PatrolZones_Description,"Multi select to define priority attractions and facilities to be assigned to staff members."
PopUp_MultiSelect_PatrolZones_Header,"Work Roster Selection"
PopUp_MultiSelect_PatrolZones_LabelCountBuildingElements,"Facilities &amp; Shops"
PopUp_MultiSelect_PatrolZones_LabelCountFlatRideStations,"Amusement Rides"
PopUp_MultiSelect_PatrolZones_LabelCountMeetAndGreetPoints,"Entertainment Points"
PopUp_MultiSelect_PatrolZones_LabelCountTrackedRideStations,"Tracked Ride Stations"
