NewsletterLanguage_ar,"Arabski"
NewsletterLanguage_bg,"Bułgarski"
NewsletterLanguage_cs,"Czeski"
NewsletterLanguage_da,"Duński"
NewsletterLanguage_de,"Niemiecki"
NewsletterLanguage_el,"Grecki"
NewsletterLanguage_en,"Angielski"
NewsletterLanguage_es,"Hiszpański"
NewsletterLanguage_fi,"Fiński"
NewsletterLanguage_fr,"Francuzki"
NewsletterLanguage_hu,"Węgierski"
NewsletterLanguage_it,"Włoski"
NewsletterLanguage_ja,"Japoński"
NewsletterLanguage_ko,"Koreański"
NewsletterLanguage_nl,"Holenderski"
NewsletterLanguage_no,"Norweski"
NewsletterLanguage_other,"Inne"
NewsletterLanguage_pl,"Polski"
NewsletterLanguage_pt,"Portugalski"
NewsletterLanguage_pt-br,"Portugalski Brazylia"
NewsletterLanguage_ro,"Rumuński"
NewsletterLanguage_ru,"Rosyjski"
NewsletterLanguage_sv,"Szwedzki"
NewsletterLanguage_th,"Tajski"
NewsletterLanguage_tr,"Turecki"
NewsletterLanguage_uk,"Ukraiński"
NewsletterLanguage_zh-Hans,"Chiński uproszczony"
NewsletterLanguage_zh-Hant,"Chiński tradycyjny"
